Timestamp,EAR,State
05:10:18.408,0.314,Active
05:10:20.537,0.362,Active
05:10:20.596,0.368,Active
05:10:20.654,0.351,Active
05:10:20.714,0.284,Active
05:10:20.925,0.304,Active
05:10:20.980,0.278,Active
05:10:21.041,0.306,Active
05:10:21.097,0.389,Active
05:10:21.155,0.365,Active
05:10:21.214,0.225,DROWSY
05:10:21.266,0.256,Active
05:10:21.329,0.239,DROWSY
05:10:21.388,0.213,DROWSY
05:10:21.453,0.223,DROWSY
05:10:21.511,0.245,DROWSY
05:10:21.582,0.274,Active
05:10:21.648,0.23,DROWSY
05:10:21.713,0.22,DROWSY
05:10:21.777,0.259,Active
05:10:21.842,0.288,Active
05:10:21.909,0.344,Active
05:10:22.000,0.385,Active
05:10:22.070,0.357,Active
05:10:22.137,0.385,Active
05:10:22.237,0.384,Active
05:10:22.320,0.357,Active
05:10:22.396,0.363,Active
05:10:22.464,0.362,Active
05:10:22.536,0.417,Active
05:10:22.602,0.391,Active
05:10:22.670,0.284,Active
05:10:22.730,0.367,Active
05:10:22.788,0.19,DROWSY
05:10:22.848,0.219,DROWSY
05:10:23.293,0.201,DROWSY
05:10:23.347,0.194,DROWSY
05:10:23.400,0.2,DROWSY
05:10:23.454,0.157,DROWSY
05:10:23.515,0.117,DROWSY
05:10:23.576,0.229,DROWSY
05:10:23.633,0.26,Active
05:10:23.692,0.373,Active
05:10:23.753,0.432,Active
05:10:23.814,0.429,Active
05:10:23.882,0.474,Active
05:10:23.940,0.382,Active
05:10:23.998,0.433,Active
05:10:24.064,0.412,Active
05:10:24.123,0.424,Active
05:10:24.188,0.37,Active
05:10:24.247,0.341,Active
05:10:24.307,0.434,Active
05:10:24.375,0.412,Active
05:10:24.437,0.408,Active
05:10:24.500,0.411,Active
05:10:24.558,0.408,Active
05:10:24.616,0.365,Active
05:10:24.677,0.387,Active
05:10:24.737,0.362,Active
05:10:24.798,0.291,Active
05:10:24.859,0.364,Active
05:10:24.922,0.279,Active
05:10:25.505,0.304,Active
05:10:25.568,0.254,Active
05:10:25.627,0.386,Active
05:10:25.687,0.303,Active
05:10:25.744,0.412,Active
05:10:25.806,0.416,Active
05:10:25.936,0.239,DROWSY
05:10:26.033,0.429,Active
05:10:26.262,0.439,Active
05:10:26.324,0.369,Active
05:10:26.383,0.413,Active
05:10:26.451,0.441,Active
05:10:26.513,0.552,Active
05:10:26.579,0.377,Active
05:10:26.648,0.345,Active
05:10:26.712,0.52,Active
05:10:26.768,0.413,Active
05:10:26.835,0.286,Active
05:10:26.899,0.447,Active
05:10:26.961,0.351,Active
05:10:27.021,0.335,Active
05:10:27.080,0.373,Active
05:10:27.144,0.355,Active
05:10:27.206,0.368,Active
05:10:27.263,0.354,Active
05:10:27.324,0.483,Active
05:10:27.383,0.425,Active
05:10:27.455,0.351,Active
05:10:27.548,0.325,Active
05:10:27.641,0.288,Active
05:10:27.722,0.236,DROWSY
05:10:27.824,0.223,DROWSY
05:10:27.929,0.306,Active
05:10:28.020,0.266,Active
05:10:28.104,0.22,DROWSY
05:10:28.163,0.248,DROWSY
05:10:28.228,0.261,Active
05:10:28.291,0.234,DROWSY
05:10:28.357,0.353,Active
05:10:28.421,0.408,Active
05:10:28.490,0.387,Active
05:10:28.558,0.182,DROWSY
05:10:28.658,0.271,Active
05:10:28.728,0.32,Active
05:10:28.810,0.276,Active
05:10:28.878,0.229,DROWSY
05:10:28.992,0.455,Active
05:10:29.110,0.332,Active
05:10:29.182,0.349,Active
05:10:29.261,0.243,DROWSY
05:10:29.332,0.305,Active
05:10:29.396,0.399,Active
05:10:29.471,0.349,Active
05:10:29.542,0.293,Active
05:10:29.607,0.182,DROWSY
05:10:29.668,0.178,DROWSY
05:10:29.742,0.288,Active
05:10:29.827,0.268,Active
05:10:29.909,0.273,Active
05:10:29.990,0.211,DROWSY
05:10:30.079,0.371,Active
05:10:30.191,0.308,Active
05:10:30.290,0.387,Active
05:10:30.353,0.396,Active
05:10:30.410,0.271,Active
05:10:30.472,0.224,DROWSY
05:10:30.534,0.28,Active
05:10:30.604,0.265,Active
05:10:30.685,0.278,Active
05:10:30.756,0.297,Active
05:10:30.833,0.33,Active
05:10:30.906,0.314,Active
05:10:31.007,0.314,Active
05:10:31.081,0.287,Active
05:10:31.150,0.271,Active
05:10:31.208,0.232,DROWSY
05:10:31.302,0.265,Active
05:10:31.427,0.246,DROWSY
05:10:31.498,0.386,Active
05:10:31.560,0.228,DROWSY
05:10:31.623,0.321,Active
05:10:31.682,0.378,Active
05:10:31.743,0.281,Active
05:10:31.798,0.355,Active
05:10:31.861,0.285,Active
05:10:31.919,0.299,Active
05:10:31.976,0.244,DROWSY
05:10:32.039,0.295,Active
05:10:32.098,0.256,Active
05:10:32.206,0.2,DROWSY
05:10:32.272,0.18,DROWSY
05:10:32.415,0.186,DROWSY
05:10:32.474,0.189,DROWSY
05:10:32.549,0.184,DROWSY
05:10:32.612,0.255,Active
05:10:32.671,0.229,DROWSY
05:10:32.732,0.274,Active
05:10:32.793,0.201,DROWSY
05:10:32.855,0.223,DROWSY
05:10:32.915,0.254,Active
05:10:32.976,0.255,Active
05:10:33.037,0.234,DROWSY
05:10:33.096,0.254,Active
05:10:33.159,0.205,DROWSY
05:10:33.243,0.25,DROWSY
05:10:33.318,0.218,DROWSY
05:10:33.507,0.248,DROWSY
05:10:33.567,0.225,DROWSY
05:10:33.629,0.312,Active
05:10:33.689,0.312,Active
05:10:37.851,0.292,Active
05:10:37.911,0.368,Active
05:10:37.970,0.314,Active
05:10:38.035,0.292,Active
05:10:38.101,0.382,Active
05:10:38.160,0.449,Active
05:10:38.223,0.292,Active
05:10:38.288,0.425,Active
05:10:38.356,0.501,Active
05:10:38.417,0.383,Active
05:10:38.477,0.422,Active
05:10:38.541,0.394,Active
05:10:38.605,0.387,Active
05:10:38.667,0.392,Active
05:10:38.734,0.394,Active
05:10:38.799,0.345,Active
05:10:38.861,0.398,Active
05:10:38.923,0.233,DROWSY
05:10:39.005,0.277,Active
05:10:39.099,0.255,Active
05:10:39.181,0.294,Active
05:10:39.246,0.272,Active
05:10:39.321,0.208,DROWSY
05:10:39.420,0.176,DROWSY
05:10:39.517,0.176,DROWSY
05:10:39.599,0.203,DROWSY
05:10:39.686,0.198,DROWSY
05:10:39.760,0.193,DROWSY
05:10:39.816,0.143,DROWSY
05:10:39.881,0.176,DROWSY
05:10:39.944,0.155,DROWSY
05:10:40.019,0.177,DROWSY
05:10:40.095,0.177,DROWSY
05:10:40.159,0.221,DROWSY
05:10:40.217,0.218,DROWSY
05:10:40.279,0.217,DROWSY
05:10:40.339,0.235,DROWSY
05:10:40.401,0.158,DROWSY
05:10:40.465,0.117,DROWSY
05:10:40.542,0.419,Active
