Timestamp,EAR,State
06:42:20.493,0.143,DROWSY
06:42:20.558,0.176,DROWSY
06:42:20.629,0.155,DROWSY
06:42:20.694,0.177,DROWSY
06:42:20.758,0.177,DROWSY
06:42:20.823,0.221,DROWSY
06:42:20.887,0.218,DROWSY
06:42:20.964,0.217,DROWSY
06:42:21.032,0.235,DROWSY
06:42:21.104,0.158,DROWSY
06:42:21.200,0.117,DROWSY
06:42:21.314,0.419,Active
06:42:21.389,0.312,Active
06:42:21.455,0.264,Active
06:42:21.518,0.256,Active
06:42:21.585,0.176,DROWSY
06:42:21.707,0.301,Active
06:42:21.868,0.305,Active
06:42:21.994,0.365,Active
06:42:22.060,0.259,Active
06:42:22.198,0.355,Active
06:42:22.286,0.478,Active
06:42:22.351,0.543,Active
06:42:22.422,0.37,Active
06:42:22.502,0.399,Active
06:42:22.592,0.337,Active
06:42:22.682,0.284,Active
06:42:22.751,0.485,Active
06:42:22.817,0.509,Active
06:42:22.898,0.551,Active
06:42:23.001,0.516,Active
06:42:23.080,0.388,Active
06:42:23.151,0.394,Active
06:42:23.246,0.503,Active
06:42:23.382,0.443,Active
06:42:23.508,0.477,Active
06:42:23.602,0.416,Active
06:42:23.675,0.394,Active
06:42:23.760,0.427,Active
06:42:23.859,0.388,Active
06:42:23.949,0.44,Active
06:42:24.012,0.342,Active
06:42:24.087,0.396,Active
06:42:24.170,0.307,Active
06:42:24.259,0.353,Active
06:42:24.326,0.337,Active
06:42:24.394,0.231,DROWSY
06:42:24.472,0.137,DROWSY
06:42:24.553,0.162,DROWSY
06:42:24.650,0.223,DROWSY
06:42:24.715,0.27,Active
06:42:24.794,0.21,DROWSY
06:42:24.861,0.302,Active
06:42:24.926,0.299,Active
06:42:24.995,0.278,Active
06:42:25.063,0.238,DROWSY
06:42:25.128,0.133,DROWSY
06:42:25.218,0.193,DROWSY
06:42:25.321,0.142,DROWSY
06:42:25.427,0.12,DROWSY
06:42:25.518,0.135,DROWSY
06:42:25.586,0.135,DROWSY
06:42:25.655,0.11,DROWSY
06:42:25.717,0.156,DROWSY
06:42:25.789,0.204,DROWSY
06:42:25.852,0.21,DROWSY
06:42:25.916,0.194,DROWSY
06:42:26.008,0.185,DROWSY
06:42:26.070,0.166,DROWSY
06:42:26.134,0.205,DROWSY
06:42:26.200,0.21,DROWSY
06:42:26.262,0.21,DROWSY
06:42:26.325,0.185,DROWSY
06:42:26.413,0.255,Active
06:42:26.497,0.255,Active
06:42:26.575,0.227,DROWSY
06:42:26.644,0.18,DROWSY
06:42:26.710,0.208,DROWSY
06:42:26.776,0.184,DROWSY
06:42:26.842,0.205,DROWSY
06:42:26.907,0.276,Active
06:42:26.968,0.201,DROWSY
06:42:27.032,0.284,Active
