Timestamp,EAR,State
05:27:43.303,0.314,Active
05:27:44.838,0.362,Active
05:27:44.933,0.368,Active
05:27:45.012,0.351,Active
05:27:45.088,0.284,Active
05:27:45.158,0.304,Active
05:27:45.260,0.278,Active
05:27:45.358,0.306,Active
05:27:45.430,0.389,Active
05:27:45.535,0.365,Active
05:27:45.614,0.225,DROWSY
05:27:45.691,0.256,Active
05:27:45.791,0.239,DROWSY
05:27:45.864,0.213,DROWSY
05:27:45.944,0.223,DROWSY
05:27:46.031,0.245,DROWSY
05:27:46.123,0.274,Active
05:27:46.251,0.23,DROWSY
05:27:46.372,0.22,DROWSY
05:27:46.512,0.259,Active
05:27:46.622,0.288,Active
05:27:46.699,0.344,Active
05:27:46.773,0.385,Active
05:27:46.840,0.357,Active
05:27:46.924,0.385,Active
05:27:46.999,0.384,Active
05:27:47.071,0.357,Active
05:27:47.165,0.363,Active
05:27:47.237,0.362,Active
05:27:47.303,0.417,Active
05:27:47.370,0.391,Active
05:27:47.435,0.284,Active
05:27:47.500,0.367,Active
05:27:47.570,0.19,DROWSY
05:27:47.688,0.219,DROWSY
05:27:47.823,0.201,DROWSY
05:27:47.909,0.194,DROWSY
05:27:47.978,0.2,DROWSY
05:27:48.067,0.157,DROWSY
05:27:48.135,0.117,DROWSY
05:27:48.200,0.229,DROWSY
05:27:48.269,0.26,Active
05:27:48.347,0.373,Active
05:27:48.411,0.432,Active
05:27:48.477,0.429,Active
05:27:48.541,0.474,Active
05:27:48.602,0.382,Active
05:27:48.671,0.433,Active
05:27:48.738,0.412,Active
05:27:48.805,0.424,Active
05:27:48.875,0.37,Active
05:27:48.949,0.341,Active
05:27:49.020,0.434,Active
05:27:49.088,0.412,Active
05:27:49.152,0.408,Active
05:27:49.221,0.411,Active
05:27:49.290,0.408,Active
05:27:49.356,0.365,Active
05:27:49.420,0.387,Active
05:27:49.486,0.362,Active
05:27:49.548,0.291,Active
05:27:49.618,0.364,Active
05:27:49.684,0.279,Active
05:27:50.229,0.304,Active
05:27:50.295,0.254,Active
05:27:50.359,0.386,Active
05:27:50.424,0.303,Active
05:27:50.490,0.412,Active
05:27:50.559,0.416,Active
05:27:50.679,0.239,DROWSY
05:27:50.772,0.429,Active
05:27:50.984,0.439,Active
05:27:51.051,0.369,Active
05:27:51.120,0.413,Active
05:27:51.189,0.441,Active
05:27:51.250,0.552,Active
05:27:51.313,0.377,Active
05:27:51.375,0.345,Active
05:27:51.437,0.52,Active
05:27:51.501,0.413,Active
05:27:51.567,0.286,Active
05:27:51.629,0.447,Active
05:27:51.691,0.351,Active
05:27:51.764,0.335,Active
05:27:51.846,0.373,Active
05:27:51.931,0.355,Active
05:27:52.035,0.368,Active
05:27:52.117,0.354,Active
05:27:52.187,0.483,Active
05:27:52.256,0.425,Active
05:27:52.325,0.351,Active
05:27:52.390,0.325,Active
05:27:52.464,0.288,Active
05:27:52.530,0.236,DROWSY
05:27:52.637,0.223,DROWSY
05:27:52.723,0.306,Active
05:27:52.815,0.266,Active
05:27:52.886,0.22,DROWSY
05:27:52.959,0.248,DROWSY
05:27:53.034,0.261,Active
05:27:53.104,0.234,DROWSY
05:27:53.171,0.353,Active
05:27:53.240,0.408,Active
05:27:53.311,0.387,Active
05:27:53.378,0.182,DROWSY
05:27:53.447,0.271,Active
05:27:53.517,0.32,Active
05:27:53.582,0.276,Active
05:27:53.664,0.229,DROWSY
05:27:53.765,0.455,Active
05:27:53.860,0.332,Active
05:27:53.962,0.349,Active
05:27:54.036,0.243,DROWSY
05:27:54.158,0.305,Active
05:27:54.229,0.399,Active
05:27:54.296,0.349,Active
05:27:54.364,0.293,Active
05:27:54.433,0.182,DROWSY
05:27:54.503,0.178,DROWSY
05:27:54.579,0.288,Active
05:27:54.651,0.268,Active
05:27:54.717,0.273,Active
05:27:54.783,0.211,DROWSY
05:27:54.873,0.371,Active
05:27:54.960,0.308,Active
05:27:55.055,0.387,Active
05:27:55.124,0.396,Active
05:27:55.192,0.271,Active
05:27:55.253,0.224,DROWSY
05:27:55.324,0.28,Active
05:27:55.390,0.265,Active
05:27:55.457,0.278,Active
05:27:55.525,0.297,Active
05:27:55.595,0.33,Active
05:27:55.661,0.314,Active
05:27:55.727,0.314,Active
05:27:55.795,0.287,Active
05:27:55.861,0.271,Active
05:27:55.928,0.232,DROWSY
05:27:56.006,0.265,Active
05:27:56.094,0.246,DROWSY
05:27:56.192,0.386,Active
05:27:56.264,0.228,DROWSY
05:27:56.347,0.321,Active
05:27:56.412,0.378,Active
05:27:56.478,0.281,Active
05:27:56.547,0.355,Active
05:27:56.613,0.285,Active
05:27:56.683,0.299,Active
05:27:56.754,0.244,DROWSY
05:27:56.819,0.295,Active
05:27:56.888,0.256,Active
05:27:57.009,0.2,DROWSY
05:27:57.093,0.18,DROWSY
05:27:57.252,0.186,DROWSY
05:27:57.325,0.189,DROWSY
05:27:57.405,0.184,DROWSY
05:27:57.473,0.255,Active
05:27:57.542,0.229,DROWSY
05:27:57.610,0.274,Active
05:27:57.678,0.201,DROWSY
05:27:57.743,0.223,DROWSY
05:27:57.815,0.254,Active
05:27:57.882,0.255,Active
05:27:57.946,0.234,DROWSY
05:27:58.033,0.254,Active
05:27:58.120,0.205,DROWSY
05:27:58.215,0.25,DROWSY
05:27:58.286,0.218,DROWSY
05:27:58.456,0.248,DROWSY
05:27:58.522,0.225,DROWSY
05:27:58.592,0.312,Active
05:27:58.660,0.312,Active
05:28:00.193,0.292,Active
05:28:00.263,0.368,Active
05:28:00.331,0.314,Active
05:28:00.400,0.292,Active
05:28:00.462,0.382,Active
05:28:00.529,0.449,Active
05:28:00.594,0.292,Active
05:28:00.659,0.425,Active
05:28:00.723,0.501,Active
05:28:00.785,0.383,Active
05:28:00.849,0.422,Active
05:28:00.912,0.394,Active
05:28:00.978,0.387,Active
05:28:01.049,0.392,Active
05:28:01.117,0.394,Active
05:28:01.188,0.345,Active
05:28:01.249,0.398,Active
05:28:01.313,0.233,DROWSY
05:28:01.400,0.277,Active
05:28:01.496,0.255,Active
05:28:01.573,0.294,Active
05:28:01.648,0.272,Active
05:28:01.717,0.208,DROWSY
05:28:01.792,0.176,DROWSY
05:28:01.886,0.176,DROWSY
05:28:01.951,0.203,DROWSY
05:28:02.022,0.198,DROWSY
05:28:02.091,0.193,DROWSY
05:28:02.153,0.143,DROWSY
05:28:02.223,0.176,DROWSY
05:28:02.291,0.155,DROWSY
05:28:02.381,0.177,DROWSY
05:28:02.467,0.177,DROWSY
05:28:02.552,0.221,DROWSY
05:28:02.622,0.218,DROWSY
05:28:02.688,0.217,DROWSY
05:28:02.757,0.235,DROWSY
05:28:02.823,0.158,DROWSY
05:28:02.893,0.117,DROWSY
05:28:02.960,0.419,Active
05:28:03.025,0.312,Active
05:28:03.093,0.264,Active
05:28:03.162,0.256,Active
05:28:03.226,0.176,DROWSY
05:28:03.316,0.301,Active
05:28:03.401,0.305,Active
05:28:03.493,0.365,Active
05:28:03.561,0.259,Active
05:28:03.633,0.355,Active
05:28:03.710,0.478,Active
05:28:03.778,0.543,Active
05:28:03.848,0.37,Active
05:28:03.911,0.399,Active
05:28:03.973,0.337,Active
05:28:04.038,0.284,Active
05:28:04.113,0.485,Active
05:28:04.176,0.509,Active
05:28:04.244,0.551,Active
05:28:04.309,0.516,Active
05:28:04.376,0.388,Active
05:28:04.439,0.394,Active
05:28:04.504,0.503,Active
05:28:04.576,0.443,Active
05:28:04.643,0.477,Active
05:28:04.706,0.416,Active
05:28:04.767,0.394,Active
05:28:04.839,0.427,Active
05:28:04.901,0.388,Active
05:28:04.973,0.44,Active
05:28:05.042,0.342,Active
05:28:05.109,0.396,Active
05:28:05.176,0.307,Active
05:28:05.245,0.353,Active
05:28:05.308,0.337,Active
05:28:05.375,0.231,DROWSY
05:28:05.480,0.137,DROWSY
05:28:05.568,0.162,DROWSY
05:28:05.652,0.223,DROWSY
05:28:05.722,0.27,Active
05:28:05.790,0.21,DROWSY
05:28:05.858,0.302,Active
05:28:05.922,0.299,Active
05:28:05.993,0.278,Active
05:28:06.064,0.238,DROWSY
05:28:06.129,0.133,DROWSY
05:28:06.198,0.193,DROWSY
05:28:06.265,0.142,DROWSY
05:28:06.333,0.12,DROWSY
05:28:06.411,0.135,DROWSY
05:28:06.504,0.135,DROWSY
05:28:06.594,0.11,DROWSY
05:28:06.673,0.156,DROWSY
05:28:06.743,0.204,DROWSY
05:28:06.809,0.21,DROWSY
05:28:06.875,0.194,DROWSY
05:28:06.941,0.185,DROWSY
05:28:07.007,0.166,DROWSY
05:28:07.074,0.205,DROWSY
05:28:07.138,0.21,DROWSY
05:28:07.201,0.21,DROWSY
05:28:07.267,0.185,DROWSY
05:28:07.354,0.255,Active
05:28:07.436,0.255,Active
05:28:07.526,0.227,DROWSY
05:28:07.599,0.18,DROWSY
05:28:07.674,0.208,DROWSY
05:28:07.741,0.184,DROWSY
05:28:07.811,0.205,DROWSY
05:28:07.879,0.276,Active
05:28:07.947,0.201,DROWSY
05:28:08.015,0.284,Active
